production_id,production_date,product_type,production_line,shift,operator_id,machine_id,material_batch,quantity_produced,quantity_defective,defect_type,defect_rate,inspection_result,defect_cost,day_of_week,month,week_number
209,2024-03-13,Product_D,Line_3,Morning,OP011,M009,BATCH002,253,7,Scratch,2.77,Pass,3500,Wednesday,March,11
210,2024-03-13,Product_C,Line_2,Morning,OP012,M001,BATCH017,268,7,Surface_Finish,2.61,Pass,3500,Wednesday,March,11
211,2024-03-14,Product_B,Line_1,Morning,OP019,M006,BATCH001,186,3,Crack,1.61,Pass,1500,Thursday,March,11
212,2024-03-15,Product_A,Line_1,Afternoon,OP011,M001,BATCH002,285,7,Surface_Finish,2.46,Pass,3500,Friday,March,11
213,2024-03-15,Product_B,Line_3,Night,OP007,M004,BATCH015,286,23,Scratch,8.04,Fail,11500,Friday,March,11
214,2024-03-15,Product_B,Line_2,Afternoon,OP019,M002,BATCH038,115,3,Surface_Finish,2.61,Pass,1500,Friday,March,11
215,2024-03-16,Product_C,Line_3,Morning,OP010,M006,BATCH003,254,12,Scratch,4.72,Pass,6000,Saturday,March,11
216,2024-03-16,Product_B,Line_3,Morning,OP001,M006,BATCH036,278,11,Dimension_Error,3.96,Pass,5500,Saturday,March,11
217,2024-03-17,Product_D,Line_1,Afternoon,OP008,M004,BATCH042,137,3,Surface_Finish,2.19,Pass,1500,Sunday,March,11
218,2024-03-18,Product_A,Line_3,Afternoon,OP017,M002,BATCH003,269,14,Crack,5.2,Fail,7000,Monday,March,12
219,2024-03-18,Product_B,Line_3,Night,OP006,M006,BATCH026,229,21,Crack,9.17,Fail,10500,Monday,March,12
220,2024-03-18,Product_A,Line_2,Night,OP020,M008,BATCH036,269,16,Crack,5.95,Fail,8000,Monday,March,12
221,2024-03-19,Product_D,Line_2,Night,OP004,M008,BATCH023,263,14,Dimension_Error,5.32,Fail,7000,Tuesday,March,12
222,2024-03-19,Product_C,Line_1,Morning,OP019,M004,BATCH004,170,2,Scratch,1.18,Pass,1000,Tuesday,March,12
223,2024-03-20,Product_C,Line_1,Night,OP004,M006,BATCH024,245,13,Surface_Finish,5.31,Fail,6500,Wednesday,March,12
224,2024-03-20,Product_D,Line_1,Morning,OP012,M001,BATCH005,165,2,Dent,1.21,Pass,1000,Wednesday,March,12
225,2024-03-21,Product_D,Line_2,Afternoon,OP001,M009,BATCH035,181,4,Scratch,2.21,Pass,2000,Thursday,March,12
226,2024-03-21,Product_B,Line_1,Afternoon,OP020,M007,BATCH029,294,10,Surface_Finish,3.4,Pass,5000,Thursday,March,12
227,2024-03-21,Product_A,Line_3,Morning,OP008,M005,BATCH019,205,10,Dimension_Error,4.88,Pass,5000,Thursday,March,12
228,2024-03-22,Product_B,Line_3,Afternoon,OP006,M003,BATCH004,286,12,Scratch,4.2,Pass,6000,Friday,March,12
229,2024-03-23,Product_A,Line_2,Morning,OP011,M004,BATCH021,194,2,Surface_Finish,1.03,Pass,1000,Saturday,March,12
230,2024-03-23,Product_A,Line_1,Morning,OP020,M002,BATCH018,113,2,Surface_Finish,1.77,Pass,1000,Saturday,March,12
231,2024-03-23,Product_C,Line_1,Afternoon,OP018,M001,BATCH011,268,7,Surface_Finish,2.61,Pass,3500,Saturday,March,12
232,2024-03-24,Product_B,Line_2,Night,OP009,M007,BATCH022,151,8,Crack,5.3,Fail,4000,Sunday,March,12
233,2024-03-24,Product_C,Line_3,Afternoon,OP017,M007,BATCH007,168,10,Dent,5.95,Fail,5000,Sunday,March,12
234,2024-03-24,Product_C,Line_1,Afternoon,OP001,M009,BATCH043,158,3,Scratch,1.9,Pass,1500,Sunday,March,12
235,2024-03-24,Product_D,Line_2,Afternoon,OP019,M005,BATCH018,174,2,Scratch,1.15,Pass,1000,Sunday,March,12
236,2024-03-25,Product_B,Line_3,Morning,OP009,M008,BATCH034,137,9,Dimension_Error,6.57,Fail,4500,Monday,March,13
237,2024-03-25,Product_A,Line_2,Afternoon,OP015,M006,BATCH036,295,4,Dent,1.36,Pass,2000,Monday,March,13
238,2024-03-25,Product_C,Line_2,Morning,OP001,M003,BATCH011,200,7,Crack,3.5,Pass,3500,Monday,March,13
239,2024-03-25,Product_A,Line_2,Afternoon,OP004,M007,BATCH011,225,8,Surface_Finish,3.56,Pass,4000,Monday,March,13
240,2024-03-26,Product_D,Line_3,Morning,OP003,M009,BATCH025,207,15,Scratch,7.25,Fail,7500,Tuesday,March,13
241,2024-03-27,Product_B,Line_1,Night,OP003,M007,BATCH010,266,10,Crack,3.76,Pass,5000,Wednesday,March,13
242,2024-03-27,Product_B,Line_3,Night,OP009,M006,BATCH027,165,5,Dent,3.03,Pass,2500,Wednesday,March,13
243,2024-03-29,Product_A,Line_3,Morning,OP009,M009,BATCH048,171,8,Surface_Finish,4.68,Pass,4000,Friday,March,13
244,2024-03-29,Product_D,Line_2,Morning,OP008,M009,BATCH008,297,10,Crack,3.37,Pass,5000,Friday,March,13
245,2024-03-29,Product_C,Line_1,Afternoon,OP014,M003,BATCH004,260,5,Dimension_Error,1.92,Pass,2500,Friday,March,13
246,2024-03-29,Product_B,Line_1,Afternoon,OP018,M003,BATCH013,245,7,Crack,2.86,Pass,3500,Friday,March,13
247,2024-03-30,Product_B,Line_3,Afternoon,OP010,M002,BATCH002,221,3,Crack,1.36,Pass,1500,Saturday,March,13
248,2024-03-30,Product_C,Line_1,Night,OP015,M006,BATCH045,246,11,Surface_Finish,4.47,Pass,5500,Saturday,March,13
249,2024-03-31,Product_A,Line_3,Morning,OP006,M007,BATCH022,147,9,Surface_Finish,6.12,Fail,4500,Sunday,March,13
250,2024-03-31,Product_B,Line_2,Night,OP019,M005,BATCH042,204,4,Dent,1.96,Pass,2000,Sunday,March,13
251,2024-04-01,Product_D,Line_1,Morning,OP019,M004,BATCH025,157,5,Crack,3.18,Pass,2500,Monday,April,14
252,2024-04-01,Product_B,Line_1,Afternoon,OP020,M009,BATCH042,103,2,Dent,1.94,Pass,1000,Monday,April,14
253,2024-04-02,Product_A,Line_2,Afternoon,OP001,M003,BATCH004,140,3,Crack,2.14,Pass,1500,Tuesday,April,14
254,2024-04-02,Product_D,Line_2,Morning,OP009,M004,BATCH047,278,4,Crack,1.44,Pass,2000,Tuesday,April,14
255,2024-04-02,Product_C,Line_2,Afternoon,OP016,M001,BATCH031,178,2,Scratch,1.12,Pass,1000,Tuesday,April,14
256,2024-04-02,Product_A,Line_3,Night,OP015,M003,BATCH021,148,8,Crack,5.41,Fail,4000,Tuesday,April,14
257,2024-04-03,Product_B,Line_1,Morning,OP011,M006,BATCH015,161,3,Crack,1.86,Pass,1500,Wednesday,April,14
258,2024-04-03,Product_A,Line_2,Night,OP011,M005,BATCH005,178,6,Dimension_Error,3.37,Pass,3000,Wednesday,April,14
259,2024-04-03,Product_D,Line_3,Morning,OP009,M007,BATCH035,208,14,Dent,6.73,Fail,7000,Wednesday,April,14
260,2024-04-04,Product_A,Line_1,Night,OP009,M003,BATCH012,205,9,Dent,4.39,Pass,4500,Thursday,April,14
261,2024-04-04,Product_B,Line_2,Afternoon,OP003,M006,BATCH050,200,4,Scratch,2.0,Pass,2000,Thursday,April,14
262,2024-04-04,Product_C,Line_1,Afternoon,OP006,M009,BATCH047,234,5,Surface_Finish,2.14,Pass,2500,Thursday,April,14
263,2024-04-04,Product_D,Line_1,Night,OP008,M001,BATCH047,125,3,Dent,2.4,Pass,1500,Thursday,April,14
264,2024-04-04,Product_C,Line_2,Afternoon,OP019,M005,BATCH047,227,2,Scratch,0.88,Pass,1000,Thursday,April,14
265,2024-04-05,Product_D,Line_1,Afternoon,OP017,M002,BATCH038,177,4,Dent,2.26,Pass,2000,Friday,April,14
266,2024-04-05,Product_D,Line_2,Afternoon,OP007,M005,BATCH047,133,1,Surface_Finish,0.75,Pass,500,Friday,April,14
267,2024-04-05,Product_A,Line_3,Afternoon,OP017,M009,BATCH032,171,11,Scratch,6.43,Fail,5500,Friday,April,14
268,2024-04-05,Product_A,Line_1,Night,OP009,M002,BATCH047,240,12,Crack,5.0,Pass,6000,Friday,April,14
269,2024-04-06,Product_D,Line_3,Afternoon,OP012,M007,BATCH042,274,7,Dimension_Error,2.55,Pass,3500,Saturday,April,14
270,2024-04-06,Product_D,Line_3,Night,OP016,M005,BATCH043,186,8,Dent,4.3,Pass,4000,Saturday,April,14
271,2024-04-06,Product_D,Line_3,Morning,OP019,M002,BATCH013,169,8,Surface_Finish,4.73,Pass,4000,Saturday,April,14
272,2024-04-07,Product_A,Line_1,Morning,OP005,M001,BATCH024,221,2,Dent,0.9,Pass,1000,Sunday,April,14
273,2024-04-08,Product_C,Line_2,Morning,OP005,M001,BATCH045,183,4,Scratch,2.19,Pass,2000,Monday,April,15
274,2024-04-09,Product_A,Line_2,Afternoon,OP006,M007,BATCH044,189,6,Dent,3.17,Pass,3000,Tuesday,April,15
275,2024-04-09,Product_D,Line_3,Morning,OP004,M006,BATCH022,156,4,Dent,2.56,Pass,2000,Tuesday,April,15
276,2024-04-11,Product_D,Line_1,Morning,OP005,M008,BATCH039,118,4,Dimension_Error,3.39,Pass,2000,Thursday,April,15
277,2024-04-11,Product_A,Line_1,Night,OP018,M003,BATCH034,242,14,Scratch,5.79,Fail,7000,Thursday,April,15
278,2024-04-12,Product_C,Line_3,Morning,OP009,M006,BATCH016,149,3,Surface_Finish,2.01,Pass,1500,Friday,April,15
279,2024-04-12,Product_B,Line_3,Morning,OP002,M004,BATCH014,205,10,Crack,4.88,Pass,5000,Friday,April,15
280,2024-04-12,Product_D,Line_2,Afternoon,OP010,M003,BATCH006,106,3,Scratch,2.83,Pass,1500,Friday,April,15
281,2024-04-12,Product_C,Line_3,Morning,OP011,M005,BATCH045,148,5,Surface_Finish,3.38,Pass,2500,Friday,April,15
282,2024-04-12,Product_D,Line_3,Morning,OP001,M006,BATCH009,100,4,Crack,4.0,Pass,2000,Friday,April,15
283,2024-04-13,Product_B,Line_1,Morning,OP009,M009,BATCH024,111,3,Surface_Finish,2.7,Pass,1500,Saturday,April,15
284,2024-04-13,Product_B,Line_2,Afternoon,OP003,M003,BATCH032,297,7,Surface_Finish,2.36,Pass,3500,Saturday,April,15
285,2024-04-13,Product_D,Line_3,Night,OP001,M001,BATCH045,283,15,Dimension_Error,5.3,Fail,7500,Saturday,April,15
286,2024-04-14,Product_D,Line_1,Afternoon,OP008,M009,BATCH029,288,8,Crack,2.78,Pass,4000,Sunday,April,15
287,2024-04-15,Product_B,Line_2,Afternoon,OP010,M002,BATCH047,204,6,Scratch,2.94,Pass,3000,Monday,April,16
288,2024-04-15,Product_C,Line_1,Afternoon,OP017,M008,BATCH050,155,3,Surface_Finish,1.94,Pass,1500,Monday,April,16
289,2024-04-15,Product_A,Line_3,Night,OP003,M002,BATCH023,260,21,Dimension_Error,8.08,Fail,10500,Monday,April,16
290,2024-04-15,Product_C,Line_2,Afternoon,OP018,M001,BATCH009,143,2,Dimension_Error,1.4,Pass,1000,Monday,April,16
291,2024-04-16,Product_A,Line_3,Morning,OP016,M005,BATCH013,191,4,Crack,2.09,Pass,2000,Tuesday,April,16
292,2024-04-16,Product_A,Line_1,Afternoon,OP011,M006,BATCH003,150,4,Dent,2.67,Pass,2000,Tuesday,April,16
293,2024-04-16,Product_D,Line_3,Afternoon,OP004,M003,BATCH048,196,9,Dimension_Error,4.59,Pass,4500,Tuesday,April,16
294,2024-04-17,Product_B,Line_2,Afternoon,OP002,M009,BATCH009,251,4,Surface_Finish,1.59,Pass,2000,Wednesday,April,16
295,2024-04-17,Product_D,Line_1,Afternoon,OP013,M007,BATCH011,135,5,Dent,3.7,Pass,2500,Wednesday,April,16
296,2024-04-18,Product_C,Line_1,Morning,OP005,M006,BATCH027,265,4,Scratch,1.51,Pass,2000,Thursday,April,16
297,2024-04-18,Product_D,Line_1,Morning,OP004,M004,BATCH008,208,6,Dimension_Error,2.88,Pass,3000,Thursday,April,16
298,2024-04-18,Product_D,Line_2,Morning,OP018,M005,BATCH011,177,4,Scratch,2.26,Pass,2000,Thursday,April,16
299,2024-04-18,Product_A,Line_2,Afternoon,OP005,M006,BATCH026,140,2,Dent,1.43,Pass,1000,Thursday,April,16
300,2024-04-19,Product_D,Line_3,Morning,OP006,M006,BATCH038,139,3,Crack,2.16,Pass,1500,Friday,April,16
301,2024-04-19,Product_D,Line_3,Afternoon,OP002,M001,BATCH025,129,2,Dimension_Error,1.55,Pass,1000,Friday,April,16
302,2024-04-19,Product_A,Line_1,Morning,OP005,M009,BATCH013,187,7,Crack,3.74,Pass,3500,Friday,April,16
303,2024-04-19,Product_C,Line_1,Night,OP007,M004,BATCH039,222,5,Surface_Finish,2.25,Pass,2500,Friday,April,16
304,2024-04-19,Product_A,Line_1,Afternoon,OP017,M008,BATCH043,113,3,Surface_Finish,2.65,Pass,1500,Friday,April,16
305,2024-04-20,Product_C,Line_2,Morning,OP014,M002,BATCH004,233,6,Crack,2.58,Pass,3000,Saturday,April,16
306,2024-04-21,Product_D,Line_1,Afternoon,OP017,M006,BATCH044,281,5,Surface_Finish,1.78,Pass,2500,Sunday,April,16
307,2024-04-21,Product_A,Line_2,Afternoon,OP002,M005,BATCH018,158,1,Dimension_Error,0.63,Pass,500,Sunday,April,16
308,2024-04-22,Product_D,Line_2,Night,OP010,M006,BATCH032,186,14,Dent,7.53,Fail,7000,Monday,April,17
309,2024-04-22,Product_C,Line_1,Afternoon,OP006,M001,BATCH002,270,11,Surface_Finish,4.07,Pass,5500,Monday,April,17
310,2024-04-22,Product_B,Line_3,Afternoon,OP002,M003,BATCH017,173,7,Scratch,4.05,Pass,3500,Monday,April,17
311,2024-04-23,Product_A,Line_3,Afternoon,OP008,M004,BATCH016,183,8,Scratch,4.37,Pass,4000,Tuesday,April,17
312,2024-04-23,Product_B,Line_1,Afternoon,OP017,M004,BATCH024,186,2,Dent,1.08,Pass,1000,Tuesday,April,17
313,2024-04-23,Product_B,Line_1,Afternoon,OP016,M007,BATCH046,181,6,Crack,3.31,Pass,3000,Tuesday,April,17
314,2024-04-23,Product_B,Line_3,Night,OP016,M008,BATCH023,221,13,Surface_Finish,5.88,Fail,6500,Tuesday,April,17
315,2024-04-23,Product_C,Line_3,Afternoon,OP008,M006,BATCH045,173,5,Dent,2.89,Pass,2500,Tuesday,April,17
316,2024-04-24,Product_A,Line_3,Night,OP005,M005,BATCH050,269,20,Scratch,7.43,Fail,10000,Wednesday,April,17
317,2024-04-24,Product_A,Line_2,Morning,OP018,M009,BATCH014,286,5,Dimension_Error,1.75,Pass,2500,Wednesday,April,17
318,2024-04-24,Product_B,Line_3,Night,OP003,M007,BATCH007,229,9,Dent,3.93,Pass,4500,Wednesday,April,17
319,2024-04-25,Product_D,Line_1,Night,OP003,M005,BATCH018,147,6,Scratch,4.08,Pass,3000,Thursday,April,17
320,2024-04-25,Product_A,Line_3,Afternoon,OP013,M003,BATCH003,121,5,Scratch,4.13,Pass,2500,Thursday,April,17
321,2024-04-25,Product_A,Line_2,Night,OP020,M005,BATCH033,253,10,Scratch,3.95,Pass,5000,Thursday,April,17
322,2024-04-26,Product_D,Line_1,Afternoon,OP014,M002,BATCH016,239,7,Scratch,2.93,Pass,3500,Friday,April,17
323,2024-04-27,Product_B,Line_2,Afternoon,OP015,M003,BATCH032,167,2,Dimension_Error,1.2,Pass,1000,Saturday,April,17
324,2024-04-27,Product_C,Line_2,Morning,OP016,M001,BATCH042,103,1,Dent,0.97,Pass,500,Saturday,April,17
325,2024-04-27,Product_D,Line_2,Afternoon,OP016,M001,BATCH031,219,4,Crack,1.83,Pass,2000,Saturday,April,17
326,2024-04-27,Product_C,Line_3,Morning,OP017,M008,BATCH042,229,5,Dimension_Error,2.18,Pass,2500,Saturday,April,17
327,2024-04-28,Product_A,Line_2,Night,OP009,M006,BATCH043,180,8,Surface_Finish,4.44,Pass,4000,Sunday,April,17
328,2024-04-28,Product_A,Line_3,Morning,OP019,M005,BATCH040,211,6,Dent,2.84,Pass,3000,Sunday,April,17
329,2024-04-28,Product_C,Line_3,Morning,OP006,M003,BATCH016,222,6,Crack,2.7,Pass,3000,Sunday,April,17
330,2024-04-29,Product_C,Line_2,Night,OP020,M006,BATCH026,122,7,Surface_Finish,5.74,Fail,3500,Monday,April,18
331,2024-04-29,Product_C,Line_1,Afternoon,OP012,M009,BATCH007,112,4,Crack,3.57,Pass,2000,Monday,April,18
332,2024-04-30,Product_D,Line_2,Morning,OP009,M009,BATCH048,101,5,Dimension_Error,4.95,Pass,2500,Tuesday,April,18
333,2024-04-30,Product_B,Line_2,Afternoon,OP006,M004,BATCH016,285,8,Crack,2.81,Pass,4000,Tuesday,April,18
334,2024-05-01,Product_C,Line_3,Night,OP016,M009,BATCH004,235,20,Dimension_Error,8.51,Fail,10000,Wednesday,May,18
335,2024-05-01,Product_A,Line_3,Morning,OP012,M008,BATCH028,226,6,Crack,2.65,Pass,3000,Wednesday,May,18
336,2024-05-01,Product_C,Line_1,Morning,OP003,M003,BATCH043,137,2,Surface_Finish,1.46,Pass,1000,Wednesday,May,18
337,2024-05-01,Product_C,Line_1,Morning,OP006,M001,BATCH043,215,5,Surface_Finish,2.33,Pass,2500,Wednesday,May,18
338,2024-05-01,Product_D,Line_3,Afternoon,OP017,M003,BATCH048,234,8,Scratch,3.42,Pass,4000,Wednesday,May,18
339,2024-05-02,Product_C,Line_1,Afternoon,OP004,M007,BATCH022,228,6,Scratch,2.63,Pass,3000,Thursday,May,18
340,2024-05-03,Product_C,Line_1,Afternoon,OP020,M007,BATCH027,294,7,Dimension_Error,2.38,Pass,3500,Friday,May,18
341,2024-05-03,Product_C,Line_3,Afternoon,OP003,M007,BATCH023,282,6,Surface_Finish,2.13,Pass,3000,Friday,May,18
342,2024-05-04,Product_A,Line_2,Morning,OP003,M001,BATCH031,123,2,Dent,1.63,Pass,1000,Saturday,May,18
343,2024-05-04,Product_D,Line_2,Afternoon,OP006,M006,BATCH043,267,9,Surface_Finish,3.37,Pass,4500,Saturday,May,18
344,2024-05-05,Product_C,Line_3,Morning,OP013,M002,BATCH001,224,7,Scratch,3.12,Pass,3500,Sunday,May,18
345,2024-05-05,Product_C,Line_3,Morning,OP004,M006,BATCH030,280,12,Dent,4.29,Pass,6000,Sunday,May,18
346,2024-05-05,Product_D,Line_2,Morning,OP011,M008,BATCH027,270,7,Surface_Finish,2.59,Pass,3500,Sunday,May,18
347,2024-05-06,Product_B,Line_3,Morning,OP006,M006,BATCH050,172,11,Crack,6.4,Fail,5500,Monday,May,19
348,2024-05-06,Product_A,Line_2,Morning,OP015,M003,BATCH018,226,8,Dimension_Error,3.54,Pass,4000,Monday,May,19
349,2024-05-06,Product_D,Line_1,Night,OP009,M004,BATCH026,254,7,Dent,2.76,Pass,3500,Monday,May,19
350,2024-05-06,Product_D,Line_3,Night,OP014,M007,BATCH026,196,14,Crack,7.14,Fail,7000,Monday,May,19
351,2024-05-07,Product_D,Line_2,Night,OP009,M008,BATCH010,282,21,Dimension_Error,7.45,Fail,10500,Tuesday,May,19
352,2024-05-07,Product_A,Line_2,Morning,OP002,M001,BATCH013,147,2,Surface_Finish,1.36,Pass,1000,Tuesday,May,19
353,2024-05-07,Product_D,Line_3,Night,OP002,M002,BATCH024,113,8,Surface_Finish,7.08,Fail,4000,Tuesday,May,19
354,2024-05-07,Product_A,Line_3,Night,OP004,M004,BATCH030,217,10,Surface_Finish,4.61,Pass,5000,Tuesday,May,19
355,2024-05-07,Product_A,Line_1,Night,OP020,M001,BATCH009,209,4,Dent,1.91,Pass,2000,Tuesday,May,19
356,2024-05-08,Product_B,Line_3,Morning,OP014,M009,BATCH042,233,13,Dimension_Error,5.58,Fail,6500,Wednesday,May,19
357,2024-05-08,Product_D,Line_1,Night,OP010,M008,BATCH029,124,7,Crack,5.65,Fail,3500,Wednesday,May,19
358,2024-05-08,Product_C,Line_2,Afternoon,OP007,M001,BATCH012,278,7,Dimension_Error,2.52,Pass,3500,Wednesday,May,19
359,2024-05-09,Product_A,Line_3,Afternoon,OP005,M003,BATCH043,228,6,Crack,2.63,Pass,3000,Thursday,May,19
360,2024-05-09,Product_D,Line_3,Morning,OP001,M007,BATCH034,136,9,Dent,6.62,Fail,4500,Thursday,May,19
361,2024-05-09,Product_D,Line_3,Afternoon,OP020,M008,BATCH047,247,7,Scratch,2.83,Pass,3500,Thursday,May,19
362,2024-05-10,Product_C,Line_3,Afternoon,OP008,M004,BATCH047,199,10,Dent,5.03,Fail,5000,Friday,May,19
363,2024-05-10,Product_C,Line_2,Afternoon,OP007,M002,BATCH028,169,2,Crack,1.18,Pass,1000,Friday,May,19
364,2024-05-11,Product_A,Line_2,Night,OP012,M003,BATCH015,251,12,Scratch,4.78,Pass,6000,Saturday,May,19
365,2024-05-11,Product_D,Line_2,Afternoon,OP018,M009,BATCH026,144,2,Surface_Finish,1.39,Pass,1000,Saturday,May,19
366,2024-05-11,Product_B,Line_1,Afternoon,OP006,M001,BATCH048,195,3,Dimension_Error,1.54,Pass,1500,Saturday,May,19
367,2024-05-12,Product_D,Line_2,Night,OP011,M008,BATCH010,108,3,Surface_Finish,2.78,Pass,1500,Sunday,May,19
368,2024-05-13,Product_D,Line_1,Afternoon,OP018,M008,BATCH030,114,3,Dent,2.63,Pass,1500,Monday,May,20
369,2024-05-14,Product_D,Line_2,Morning,OP016,M006,BATCH009,208,3,Dent,1.44,Pass,1500,Tuesday,May,20
370,2024-05-15,Product_D,Line_2,Morning,OP013,M002,BATCH007,183,6,Dimension_Error,3.28,Pass,3000,Wednesday,May,20
371,2024-05-15,Product_B,Line_3,Afternoon,OP011,M002,BATCH015,154,6,Crack,3.9,Pass,3000,Wednesday,May,20
372,2024-05-15,Product_A,Line_1,Afternoon,OP006,M005,BATCH020,116,2,Dimension_Error,1.72,Pass,1000,Wednesday,May,20
373,2024-05-15,Product_A,Line_2,Night,OP013,M008,BATCH016,206,13,Crack,6.31,Fail,6500,Wednesday,May,20
374,2024-05-16,Product_B,Line_2,Night,OP015,M007,BATCH012,100,6,Dimension_Error,6.0,Fail,3000,Thursday,May,20
375,2024-05-16,Product_B,Line_3,Morning,OP017,M007,BATCH004,236,9,Dimension_Error,3.81,Pass,4500,Thursday,May,20
376,2024-05-16,Product_A,Line_2,Morning,OP018,M003,BATCH034,179,2,Crack,1.12,Pass,1000,Thursday,May,20
377,2024-05-17,Product_C,Line_1,Afternoon,OP010,M008,BATCH028,197,5,Scratch,2.54,Pass,2500,Friday,May,20
378,2024-05-17,Product_D,Line_3,Morning,OP007,M006,BATCH038,109,5,Scratch,4.59,Pass,2500,Friday,May,20
379,2024-05-18,Product_C,Line_1,Morning,OP020,M001,BATCH037,233,5,Dent,2.15,Pass,2500,Saturday,May,20
380,2024-05-19,Product_C,Line_2,Night,OP017,M006,BATCH017,211,12,Crack,5.69,Fail,6000,Sunday,May,20
381,2024-05-19,Product_A,Line_1,Afternoon,OP018,M001,BATCH043,269,7,Dent,2.6,Pass,3500,Sunday,May,20
382,2024-05-19,Product_B,Line_1,Night,OP013,M002,BATCH025,248,8,Crack,3.23,Pass,4000,Sunday,May,20
383,2024-05-19,Product_B,Line_3,Morning,OP013,M002,BATCH016,283,13,Crack,4.59,Pass,6500,Sunday,May,20
384,2024-05-19,Product_B,Line_3,Morning,OP002,M005,BATCH024,228,11,Surface_Finish,4.82,Pass,5500,Sunday,May,20
385,2024-05-20,Product_D,Line_3,Morning,OP006,M009,BATCH014,281,25,Dent,8.9,Fail,12500,Monday,May,21
386,2024-05-20,Product_A,Line_3,Afternoon,OP016,M006,BATCH044,276,18,Dimension_Error,6.52,Fail,9000,Monday,May,21
387,2024-05-21,Product_D,Line_1,Morning,OP004,M002,BATCH024,186,4,Crack,2.15,Pass,2000,Tuesday,May,21
388,2024-05-21,Product_B,Line_3,Night,OP001,M004,BATCH044,151,8,Crack,5.3,Fail,4000,Tuesday,May,21
389,2024-05-21,Product_B,Line_3,Morning,OP003,M007,BATCH050,248,13,Dent,5.24,Fail,6500,Tuesday,May,21
390,2024-05-22,Product_A,Line_2,Afternoon,OP005,M007,BATCH008,141,4,Scratch,2.84,Pass,2000,Wednesday,May,21
391,2024-05-22,Product_C,Line_3,Morning,OP015,M002,BATCH031,199,5,Dimension_Error,2.51,Pass,2500,Wednesday,May,21
392,2024-05-23,Product_C,Line_2,Afternoon,OP020,M008,BATCH031,133,4,Dent,3.01,Pass,2000,Thursday,May,21
393,2024-05-23,Product_C,Line_2,Afternoon,OP014,M004,BATCH042,159,2,Surface_Finish,1.26,Pass,1000,Thursday,May,21
394,2024-05-23,Product_A,Line_3,Night,OP002,M005,BATCH008,147,10,Dent,6.8,Fail,5000,Thursday,May,21
395,2024-05-23,Product_B,Line_1,Afternoon,OP019,M005,BATCH045,105,2,Surface_Finish,1.9,Pass,1000,Thursday,May,21
396,2024-05-24,Product_D,Line_1,Morning,OP015,M003,BATCH026,241,7,Dent,2.9,Pass,3500,Friday,May,21
397,2024-05-24,Product_B,Line_2,Night,OP015,M009,BATCH042,290,13,Dimension_Error,4.48,Pass,6500,Friday,May,21
398,2024-05-25,Product_D,Line_3,Afternoon,OP007,M005,BATCH047,284,13,Crack,4.58,Pass,6500,Saturday,May,21
399,2024-05-25,Product_C,Line_3,Night,OP005,M001,BATCH032,184,8,Scratch,4.35,Pass,4000,Saturday,May,21
400,2024-05-25,Product_D,Line_1,Afternoon,OP017,M001,BATCH016,150,5,Scratch,3.33,Pass,2500,Saturday,May,21
401,2024-05-26,Product_A,Line_3,Night,OP011,M007,BATCH018,179,7,Dimension_Error,3.91,Pass,3500,Sunday,May,21
402,2024-05-26,Product_B,Line_3,Afternoon,OP009,M001,BATCH032,109,4,Scratch,3.67,Pass,2000,Sunday,May,21
403,2024-05-26,Product_C,Line_2,Morning,OP005,M007,BATCH029,188,7,Scratch,3.72,Pass,3500,Sunday,May,21
404,2024-05-26,Product_C,Line_1,Night,OP009,M008,BATCH022,230,14,Surface_Finish,6.09,Fail,7000,Sunday,May,21
405,2024-05-26,Product_D,Line_3,Morning,OP002,M004,BATCH022,264,7,Scratch,2.65,Pass,3500,Sunday,May,21
406,2024-05-27,Product_C,Line_1,Night,OP006,M001,BATCH026,217,9,Dent,4.15,Pass,4500,Monday,May,22
407,2024-05-27,Product_C,Line_3,Afternoon,OP001,M004,BATCH036,290,8,Surface_Finish,2.76,Pass,4000,Monday,May,22
408,2024-05-27,Product_A,Line_3,Night,OP017,M007,BATCH016,272,20,Scratch,7.35,Fail,10000,Monday,May,22
409,2024-05-28,Product_D,Line_2,Afternoon,OP019,M004,BATCH020,110,3,Crack,2.73,Pass,1500,Tuesday,May,22
410,2024-05-28,Product_D,Line_3,Afternoon,OP014,M006,BATCH004,140,2,Scratch,1.43,Pass,1000,Tuesday,May,22
411,2024-05-28,Product_C,Line_3,Afternoon,OP008,M004,BATCH042,161,4,Dimension_Error,2.48,Pass,2000,Tuesday,May,22
412,2024-05-28,Product_B,Line_3,Morning,OP004,M004,BATCH001,178,3,Dimension_Error,1.69,Pass,1500,Tuesday,May,22
413,2024-05-28,Product_C,Line_1,Morning,OP002,M006,BATCH037,299,3,Surface_Finish,1.0,Pass,1500,Tuesday,May,22
414,2024-05-28,Product_D,Line_1,Afternoon,OP002,M009,BATCH043,176,3,Dimension_Error,1.7,Pass,1500,Tuesday,May,22
415,2024-05-29,Product_D,Line_3,Morning,OP009,M008,BATCH011,298,7,Surface_Finish,2.35,Pass,3500,Wednesday,May,22
416,2024-05-29,Product_C,Line_3,Night,OP014,M001,BATCH001,179,9,Dimension_Error,5.03,Fail,4500,Wednesday,May,22
417,2024-05-29,Product_D,Line_2,Morning,OP008,M001,BATCH008,213,6,Surface_Finish,2.82,Pass,3000,Wednesday,May,22
